# Nehboro malicious domains feed
# Format: domain,notes
# Supports wildcards: *.evil.com, pay*.net
# Last updated: populated by community reports
domain,notes
"debank-extension.world","custom static list mthcht"
"sqwas.shapelie.com","custom static list mthcht"
"ccwaterfall.com","custom static list mthcht"
"ivibers.com","custom static list mthcht"
"mandiantyellowpress.com","custom static list mthcht"
"low-house.com","custom static list mthcht"
"trustconnectsoftware.com","custom static list mthcht"
"volkatv500.sytes.net","custom static list mthcht"
"potunulit.org","custom static list mthcht"
"warzonecdt.duckdns.org","custom static list mthcht"
"rabbit.ooguy.com","custom static list mthcht"
"respainc.duckdns.org","custom static list mthcht"
"updatetools.giize.com","custom static list mthcht"
"fgdedd1dww.gleeze.com","custom static list mthcht"
"mailsdy.gleeze.com","custom static list mthcht"
"updatasuccess.ddnsgeek.com","custom static list mthcht"
"plcoaweniva.ddnsgeek.com","custom static list mthcht"
"nenigoncqnutgo.accesscam.org","custom static list mthcht"
"fileripple.com","custom static list mthcht"
"vpn-fortinet.com","custom static list mthcht"
"camsqewivo.kozow.com","custom static list mthcht"
"wirexpro.com","custom static list mthcht"
"globoss.kozow.com","custom static list mthcht"
"pewsus.freeddns.org","custom static list mthcht"
"meetingapp.site","custom static list mthcht"
"babi5599ss.ddnsgeek.com","custom static list mthcht"
"nenignenigoncqvoo.ooguy.com","custom static list mthcht"
"soovuy.gleeze.com","custom static list mthcht"
"winfoss1.kozow.com","custom static list mthcht"
"jarvis001.freeddns.org","custom static list mthcht"
"awcc001jdaigfwdagdcew.giize.com","custom static list mthcht"
"cvpc01cgsdfn53hgd.giize.com","custom static list mthcht"
"tch.giize.com","custom static list mthcht"
"sweyblidian.com","custom static list mthcht"
"maliclick1.ddnsfree.com","custom static list mthcht"
"cloacpae.ddnsfree.com","custom static list mthcht"
"cnrpaslceas.freeddns.org","custom static list mthcht"
"systemsz.kozow.com","custom static list mthcht"
"microsoft-update.support","custom static list mthcht"
"vpaspmine.freeddns.org","custom static list mthcht"
"t3lc0mhasvnctsk.giize.com","custom static list mthcht"
"t31c0mopamcuiomx.kozow.com","custom static list mthcht"
"ttsiou12.loseyourip.com","custom static list mthcht"
"updatamail.kozow.com","custom static list mthcht"
"welcome.careerscrews.com","custom static list mthcht"
"timpe.kozow.com","custom static list mthcht"
"pplodsssead222.loseyourip.com","custom static list mthcht"
"sdhite43.ddnsfree.com","custom static list mthcht"
"ffosies2024.camdvr.org","custom static list mthcht"
"afsaces.accesscam.org","custom static list mthcht"
"pawanp.kozow.com","custom static list mthcht"
"pweobmxdlboi.com","custom static list mthcht"
"zwmn350n3o1vsdrggs.ddnsfree.com","custom static list mthcht"
"ua2o25yth.ddnsgeek.com","custom static list mthcht"
"oldatain1.ddnsgeek.com","custom static list mthcht"
"prepaid127.freeddns.org","custom static list mthcht"
"nisaldwoa.theworkpc.com","custom static list mthcht"
"cvabiasbae.ddnsfree.com","custom static list mthcht"
"fakjcsaeyhs.ddnsfree.com","custom static list mthcht"
"ancisesic.accesscam.org","custom static list mthcht"
"lps2staging.ddnsfree.com","custom static list mthcht"
"rsm323.kozow.com","custom static list mthcht"
"evilginx2.loseyourip.com","custom static list mthcht"
"nenigoncuopzc.giize.com","custom static list mthcht"
"selfad.gleeze.com","custom static list mthcht"
"filipinet.ddnsgeek.com","custom static list mthcht"
"mmmfaco2025.mywire.org","custom static list mthcht"
"mmvmtools.giize.com","custom static list mthcht"
"polokinyea.gleeze.com","custom static list mthcht"
"setupcodpr2.freeddns.org","custom static list mthcht"
"quitgod2023luck.giize.com","custom static list mthcht"
"ltiuys.ddnsgeek.com","custom static list mthcht"
"shahzad73.casacam.net","custom static list mthcht"
"t3lm0rtlcagratu.kozow.com","custom static list mthcht"
"pplosad231.kozow.com","custom static list mthcht"
"saf3asg.giize.com","custom static list mthcht"
"bibabo.freeddns.org","custom static list mthcht"
"lsls.casacam.net","custom static list mthcht"
